,,,,,,,,,,,,,,,,water quality
24,32,6,6.8,7.1,7.8,,,8,16,0.64,0.64,2,170,70,170,1
21,31,7,7.2,7.1,7.8,,,2,2.8,0.59,0.59,10,110,110,170,1
32,32,0.3,1.7,7.6,8.1,6560,6560,40,55,1.14,2.1,49000,3300000,14000000,14000000,1
34,34,0.3,11,8.7,9.1,940,940,64,163,2.38,2.6,49,980000,79,79,1
33,33,0.3,9,8.1,8.3,1194,1194,26,57,1.01,2.04,49,40000,130,130,1
27,32,4.8,7.9,5.7,7.4,40,140,1,1.6,0.32,0.54,2,240,2,540,1
27,30,4.3,8.8,6.3,8.3,99,603,1,2.8,0.32,0.39,78,1300,110,3300,1
27,31,1.6,6.7,6,7.7,78,195,1,2.9,0.32,1.22,130,2300,170,4900,1
27,33,5.9,8.4,6.2,7.4,55,167,1,1.9,0.32,0.44,49,3300,140,5400,1
28,32,5.9,8.2,6.2,7.3,39,96,1,1.8,0.32,0.32,170,2200,330,2700,1
27,31,2.8,7.7,6.4,7.7,90,177,1.2,3.4,0.32,1.12,45,2700,68,3900,1
27,32,1.2,6,6.1,7.8,95,141,1,3.8,0.32,0.52,130,2300,230,4900,1
28,30,1.2,4.9,6.5,7.8,196,463,2.5,8,0.32,1.18,230,4900,940,7900,1
27.5,33,6.1,8.1,6.7,8.5,38,139,1,1.8,0.32,0.9,2,49,4,79,1
27,30,5.1,8.5,7.6,8.5,365,502,1,1,0.32,0.39,2,11,17,70,1
26,31,6.5,8.5,7.6,8.3,306,508,1,1,0.3,0.5,2,27,20,70,1
27,29,3.5,7.2,7.3,8,205,2415,1,10.5,0.3,1.3,12,120,46,350,1
25,30,4.1,6.9,7.3,8.4,449,669,2.4,19,0.3,1.68,26,920,130,1600,1
27,35,4.7,6.7,7.7,8.5,892,1621,1.5,3.2,0.24,0.72,70,350,280,540,1
26,33,3.4,6.8,7.4,8.5,335,646,1.3,3.2,0.32,1.6,23,140,130,350,1
23,30,5.2,6.4,7.2,8.4,363,690,2.2,2.8,0.33,0.46,5,7,22,28,1
25,30,4.8,8.4,8.5,9.1,2571,3999,7,22,0.32,1.63,33,920,280,1600,1
26,30,5.9,6.9,7.3,8.4,452,3120,1.6,2.5,0.32,0.75,2,170,10,540,1
18,29,3,4.4,6.8,8.4,358,835,1,2.1,0.32,0.6,3,6,6,27,1
24,29,6.4,6.8,7.3,8.6,299,1012,2,2.4,0.16,0.43,2,21,2,49,1
24,32,4.2,9.2,8.3,9.1,2669,3850,3,27,0.3,0.72,12,540,63,920,1
26,30,0.3,7.5,8.3,9,1838,6138,10,59,0.16,1.1,94,920,280,1600,1
20,30,6.2,7.6,7.5,8.3,383,773,1,1.1,0.01,0.42,2,6,2,33,1
26,30,5,8.4,7.8,8.8,1290,11480,1.8,24,0.32,0.76,33,540,120,920,1
23,29,3.5,6.5,7.2,8.3,314,1020,2.2,2.9,0.33,0.35,2,49,17,130,1
26,32,4.9,7.3,7.6,8.5,800,1136,1.6,4.1,0.32,0.45,46,350,170,540,1
26,28,3.5,5.5,7.3,8.5,430,779,1.8,4.1,0.3,0.91,130,350,240,540,1
28,31,7,7.8,7.5,8.4,369,564,1,1.9,0.3,0.57,2,17,10,120,1
20,30,5.4,8.2,7.3,8.4,413,1038,1,2.5,0.04,0.32,2,110,27,280,1
22,35,2.6,7.7,7.1,8.5,440,1360,8,29,0.32,1.04,6,540,50,920,1
,,6.2,7.8,7.2,8,289,812,3.5,4.5,0.14,2.84,100,14100,100,34800,1
,,3.9,7.2,7.6,8.2,329,488,3.2,4.8,0.3,0.88,400,4800,100,12000,1
20.4,32,6.5,7.2,7,7.9,860,1360,4,9,0.8,3.2,6600,39000,32000,110000,1
,,6.3,8,7,7.8,280,785,3.4,4.6,0.18,0.3,100,11800,100,24000,1
14,23,8.4,9.7,7.2,8,187,380,1,1,0.32,2.14,94,540,280,1600,1
4,17,5.7,7.1,6.1,7.7,62,113,1,2,0.3,1.9,2,2,31,84,1
13,26,6,9.2,7.1,8.2,109,225,1,1,0.3,1.2,2,2,25,63,1
10,22,6.5,8.9,7.3,8.5,372,625,1,2,0.32,0.82,26,46,130,350,1
11,27,5.3,9.8,6.9,8.3,58,746,1,5,0.41,1.74,110,920,920,1600,1
14,24,7.5,7.9,7.4,7.9,190,225,1,1,0.02,0.26,,,,,1
15,26,6.2,6.6,7.9,8.6,168,236,3.1,4.1,0.03,0.04,-,-,-,-,1
9.2,26.1,3.6,7.1,7.3,7.7,225,479,1.5,2.8,-,-,-,-,-,-,1
8.3,26.3,0.5,3.6,7.2,7.4,300,725,3.3,8.7,-,-,-,-,-,-,1
7.1,26.4,1.4,5.6,7.2,7.4,274,552,2.4,5.3,-,-,-,-,-,-,1
7.3,24,3.5,7.2,7.3,7.8,217,2889,1.2,2.8,-,-,-,-,-,-,1
8.9,25.8,0.7,2.6,7.1,7.4,274,676,3.5,7.6,-,-,-,-,-,-,1
13,25.8,4.3,9,7.3,8.1,179,217,2,4.4,-,-,-,-,-,-,1
14,28.2,0.5,4.5,7.1,7.7,264,350,5.4,13.6,-,-,-,-,-,-,1
13.5,28,0.7,5,7.1,7.7,273,310,4.4,10.5,-,-,-,-,-,-,1
11.2,25.5,3.4,7.5,7.2,7.9,166,2110,2.1,2.9,-,-,-,-,-,-,1
11.3,28,3.3,7.5,7,8.3,161,206,2,3.7,-,-,-,-,-,-,1
11.7,27.3,4.7,7.6,7.1,7.9,170,200,2.7,3.3,-,-,-,-,-,-,1
14,27.8,4,9,7.5,8.2,161,430,2.3,6.4,-,-,-,-,-,-,1
13,26.4,6,9.5,7.5,8.1,101,237,1.3,3.4,-,-,-,-,-,-,1
13.5,27.4,2.8,8.3,7.4,8.5,183,420,1,8.5,0.02,0.02,-,-,-,-,1
13.8,28,4.5,9.8,7.5,8.3,206,311,2.2,5.6,-,-,-,-,-,-,1
13.5,27,5.8,9.2,7.7,8.5,202,227,2,4,-,-,-,-,-,-,1
13,27.6,6.4,9.8,7.9,8.2,160,195,2,3.8,-,-,-,-,-,-,1
13.8,26.1,6.4,9.8,7.4,8.5,142,268,1.5,2.9,-,-,-,-,-,-,1
11.7,28,5.7,9.3,7.4,7.8,165,202,2.3,4.6,-,-,-,-,-,-,1
12.2,27.5,4.8,8.9,7.6,8.3,188,267,2,6.3,-,-,-,-,-,-,1
14,24,5.9,7.9,7.5,8.1,192,239,1,1,0.02,0.02,-,-,-,-,1
15,26,6.1,6.5,8.1,8.6,170,240,3.4,16.4,0.04,0.04,-,-,-,-,1
9.4,27,2.5,7.5,7.3,7.6,197,291,2,5.1,-,-,-,-,-,-,1
10,21,1.6,8.1,7.1,7.5,90,487,1.3,5.6,-,-,-,-,-,-,1
6.1,24,3,7.9,7.2,7.9,70,165,1,4.6,-,-,-,-,-,-,1
6,24.1,4.2,6.8,7.1,7.6,194,260,1.3,2.7,-,-,-,-,-,-,1
8.6,26,4.4,8.5,7.1,8,161,249,1.5,2.7,-,-,-,-,-,-,1
8.5,28.4,2.4,8.7,7.1,7.7,188,268,1.8,5.7,-,-,-,-,-,-,1
20,32,7,8,7.2,7.7,168,243,1,1.6,-,-,-,-,-,-,1
19.5,20,7.4,7.6,7.5,7.5,-,-,2.4,2.5,-,-,-,-,-,-,1
17,31,3.6,8,7.6,8.2,296,350,2.1,2.6,-,-,-,-,-,-,1
20,23,2,4.9,7.3,7.4,-,-,3.9,12.8,-,-,-,-,-,-,1
19,23,4,4.2,7.3,7.4,-,-,4.6,4.8,-,-,-,-,-,-,1
17,32,6.2,7.6,7.6,8.2,310,332,1.5,2.6,-,-,-,-,-,-,1
25,25,0.3,7.2,6.5,8.1,226,1399,3,42,0.7,3,4600,940000,35000,5400000,1
25,25,1.9,7,6.5,7.7,324,1268,4,22,1.5,5.7,3300,150000,24000,1600000,1
25,25,4.2,6.6,6.6,7.6,449,963,3,8,0.3,2.6,2300,1100000,24000,3500000,1
25,25,0.3,6.2,6.3,7.2,358,1637,4,29,0.3,2.2,3400,700000,24000,5400000,1
25,25,4.6,6.8,6.8,7.9,706,985,3.7,7,1.4,3.29,490,15000,5400,160000,1
25,25,4.4,6.5,6.5,8.1,209,1194,4,9,0.7,3.2,3300,140000,24000,540000,1
25,25,3.2,6.8,7.1,8.5,706,949,4,17,0.4,6.49,3300,150000,24000,1600000,1
25,25,0.3,2.8,6.5,6.9,1035,1187,18,87,1.1,5,2300,1200000000,24000,9200000000,1
24,29,0.3,10.9,7.6,9,708,1528,1,38,0.32,6,920,1840,1600,3200,1
25,25,5.7,6.9,6.5,7.2,141,312,3,5,0.4,11.5,1200,15000,16000,160000,1
25,25,4,7,6.5,7.4,297,1326,3,11,0.6,2.3,3300,940000,24000,5400000,1
25,25,1,7,6.5,7.7,225,1871,4,22,0.36,3,3300,1100000,24000,9200000,1
25,25.1,4.8,7.4,6.5,7.8,208,521,2,10,0.3,2.2,23,46000,24000,350000,1
25,25,2.1,4.8,6.5,8.5,671,1238,6,36,1.5,3.6,4000,79000,24000,540000,1
21,26,0.3,3.6,7.1,8.5,725,1168,8,14,2.1,4.9,2100,3300,7000,12000,1
21,25,2.1,6.6,6.5,7.6,425,1336,3,30,1.1,9.4,4000,14000,24000,160000,1
25,25,3.4,6.6,6.1,8,185,1114,3,8,0.3,9.79,4000,120000,24000,1600000,1
25,25,0.3,5.1,6.3,7.4,974,1737,9,375,1.2,8,3300,2300000000,24000,2400000000,1
25,25,0.3,6,6,7.5,359,3010,5,203,0.7,13,4600,94000000,35000,540000000,1
25,25,4,6.2,6.5,7.6,325,1769,4,15,0.5,4.5,2300,94000,24000,540000,1
25,25,2,7.1,6.4,8.4,221,1453,4,42,0.6,3.6,2300,46000,24000,350000,1
25,26,2.1,6.8,6.1,7.1,240,2720,3,34,0.3,8.8,4000,120000,24000,920000,1
25,25,4.8,6.4,6.5,7.7,247,371,3,11,0.4,0.8,1500,15000,16000,160000,1
25,25,1.2,5.9,6.5,8.4,812,1282,4,30,0.8,5.3,3300,23000,24000,240000,1
22,29,5.2,5.8,7.5,8.5,386,655,3.5,4.8,1.8,6,240,790,2200,3800,1
19,25,4.4,6.3,7.5,9,986,1549,3.5,7.4,2.3,8.1,910,2600,5800,7000,1
25,25,3.2,6.9,6.4,7.4,303,974,3,16,0.9,4,4000,480000,35000,3500000,1
25,25.1,0.3,6,6.5,7,550,1576,5,78,0.7,4.5,3300,700000,24000,3500000,1
25,25,3.1,7.2,6.9,7.9,217,1466,3,10,1,5.2,3300,17000,24000,160000,1
25,25,2,6.4,6.5,7.4,206,738,4,16,0.5,3.4,4600,330000,35000,2400000,1
25,25,1,6.3,6.5,7.4,521,1017,3,35,1,4.2,2300,63000,24000,540000,1
25,25,2.8,6.1,6.5,8.2,447,1323,3,13,1.27,4.7,2300,700000,24000,16000000,1
25,25,0.3,5.5,6.3,7.6,286,2280,6,124,0.6,19,3300,480000,24000,3500000,1
25,25,0.3,7.2,6.6,7.7,629,1449,3,27,0.93,6,2200,1700000,24000,16000000,1
25,25,4.1,7.2,6.5,8.4,424,1304,3,12,1,5.3,3300,23000,24000,240000,1
25,25,2.3,6.8,6.5,7.5,180,2116,3,12,0.3,4,4900,130000,24000,1600000,1
25,25,0.3,6.1,6.5,7.4,827,2860,3,80,1.7,7.03,4800,48000000,35000,350000000,1
25,25,4.6,7.1,6.7,7,210,853,4,6,1,5,4600,46000,35000,350000,1
25,25,4.3,6.8,6.5,8.5,299,787,3,14,0.88,2.3,2300,140000,24000,1600000,1
21,33,4.6,10,7,8.8,332,692,1.3,6.4,0.3,4.7,920,920,1600,1600,1
25,25,2.7,6.9,6.5,8,488,1253,3,20,0.3,6.8,2300,46000,24000,350000,1
25,25,3,6.2,6.6,7.6,369,1345,4,34,0.5,4,2700,14000,24000,160000,1
25,25.1,0.3,6.5,6.5,8.3,313,3370,5,54,0.3,8.09,2600,330000,24000,2400000,1
21,25,5,6.8,7.1,9,495,770,2.7,4.4,1,3.1,830,1400,4600,6300,1
25,25,3,6.1,6.8,7.8,725,1299,4,17,0.81,15,460,94000,3500,540000,1
20,26,4.6,6,7.3,8.8,564,850,3.5,5.2,1.5,3.1,780,1700,5800,8400,1
25,25,0.3,6.4,6.3,7.6,385,4200,3,145,0.6,11,3300,1200000,24000,9200000,1
25,25,1.2,5.4,6.8,8.2,647,2009,4,78,1.1,6,3300,63000,24000,540000,1
24,25,3.6,6.5,6.5,6.7,374,820,3,10,1.2,3,3900,7000,24000,54000,1
25,25,4.1,6.2,6.9,8,543,1021,3,10,0.3,7.75,3300,130000,24000,920000,1
25,25,1.1,7.1,6.5,7.8,304,821,3,34,0.44,3.2,3400,7000000,24000,92000000,1
24,26,6.5,6.8,7.4,8,810,1070,3.4,3.9,0.92,1.22,26,52,109,165,1
25,25,0.8,6.3,6.5,7.6,422,2120,4,46,1.22,7.6,4600,34000,35000,240000,1
25,25,1.8,6.5,6.5,8,207,1297,5,38,0.3,7.9,2300,1100000,24000,9200000,1
25,25,0.3,6.8,6.5,8.2,346,741,4,32,0.5,2.8,330,63000,9200,540000,1
25,25,3,6.3,6.6,7.7,459,1173,3,22,1.1,2.57,3300,94000,24000,540000,1
25,25,4.7,6,6.9,7.8,290,1233,3,11,1.1,3,4000,9400,35000,54000,1
25,25,3.1,6.7,6.6,8.5,413,1236,4,23,0.47,4.6,3300,150000,24000,1600000,1
25,25,0.3,4.2,6.6,7.4,1023,1480,9,93,0.9,6,3300,1700000,35000,9200000,1
24,25,1.5,7,6.5,8.3,552,1027,4,35,1.4,10,3300,15000,24000,160000,1
25,25,4.9,7.1,6.9,8.2,415,783,3,9,0.3,5,3300,120000,24000,920000,1
25,25,0.3,5.9,7.1,8.7,512,3860,4,50,2.09,11,3300,63000,24000,540000,1
20,34,4.3,6.6,6.9,8.9,583,1028,3,6,1.8,3.6,700,2200,4700,7000,1
25,25,0.3,5.2,6.5,7.2,886,1374,5,47,0.3,5.9,4800,790000,35000,5400000,1
25,25,1.1,7,6.5,7.6,562,1367,4,36,0.5,6,4300,130000,35000,1600000,1
25,25,2.8,6.9,6.6,7.6,216,1323,3.4,21,0.5,3.4,2300,140000,24000,920000,1
25,25.1,4.2,7.2,7,7.7,239,532,2,6,0.6,2.1,2300,110000,24000,920000,1
25,25,4.2,6.8,6.5,8.5,444,1320,3,9,0.5,3,2300,120000,24000,1600000,1
25,25,0.3,4.8,6.7,8.1,1109,1593,7,81,0.4,3,9400,13000,54000,160000,1
25,25,2,6.3,6.5,7.7,369,1561,3,15,0.58,25,3400,630000,24000,5400000,1
25,25,1.8,7,6.6,8.8,254,551,3,42,0.3,2.01,4000,700000,24000,3500000,1
25,25,2,6.8,6.8,8.5,253,570,3,38,0.67,2,2300,490000,24000,2400000,1
25,26,0.3,4.8,6.5,7.7,798,1347,6,60,1,19,11000,1500000000,160000,1600000000,1
24,25,0.3,6.9,6.6,8.4,496,889,4,62,0.3,13.4,3300,150000,24000,1600000,1
25,25,4.1,7.1,6.5,8.2,201,334,3,18,0.6,2.4,4600,46000,24000,920000,1
21,33,1,3.9,7,8.5,742,1252,1.4,14,2.5,7.5,1300,4900,7900,14000,1
23,32,3.1,7.2,8,8.3,654,1980,4,132,0.3,1.4,-,-,-,-,1
25,25,4,6.4,6.5,8.4,421,1223,4,8.5,0.9,5,6300,11000000,54000,92000000,1
25,25,4.2,6.9,6.5,7.3,89,678,3,16,0.3,2,3300,49000,35000,240000,1
25,25,0.3,7.3,6.6,8,414,3020,2,69,0.72,11.1,3300,15000,24000,160000,1
21,33,0.3,8,6.6,9.5,293,584,3.7,57,0.32,5.46,1480,1840,3200,3200,1
25,25,4,7,6.5,8.1,173,493,3,8,0.3,1.53,4100,46000,24000,540000,1
21,27,3,4.3,7.3,7.9,980,1930,3.8,6.4,0.7,1.3,130,930,1100,4900,1
21,27,5.4,6.7,7.4,7.9,290,450,2,2.4,0.3,0.3,110,140,920,1200,1
25,25,3,6.9,6.5,7.6,196,1268,5,18,0.4,3.23,6300,33000,54000,240000,1
25,25,5.9,5.9,7.7,7.7,500,500,2,2,0.3,0.3,330,330,2200,2200,1
25,25,0.5,7,6.6,7.9,304,1079,3,24,0.73,2.7,3300,70000,24000,1600000,1
25,25,4.1,6.5,6.4,7.5,426,1444,3,10,0.7,8,2700,110000,24000,920000,1
26,32,0.5,7.3,7.1,7.8,260,890,3,12,0.3,6.87,-,-,-,-,1
25,25,1,6.2,6.7,7.4,740,1870,4,46,2,78,3300,110000,35000,920000,1
25,25,2.2,6.1,6.8,7.7,821,1413,4,27,0.81,6.1,3300,120000,24000,920000,1
25,25.1,3.2,6.2,6.5,7.7,274,1223,3,14,0.94,4.3,4800,150000,35000,1600000,1
25,25,0.3,5,6.7,7.4,1099,2309,6,42,1,27,2300,460000,24000,3500000,1
25,26,2.9,6.8,6.1,7.4,194,1120,2,14,0.51,2.5,3300,40000,13000,350000,1
25,25,3,7.3,6.5,7.6,271,2540,3,17,0.3,6.6,4700,94000,35000,920000,1
25,25,0.3,6.3,6.5,7.4,237,1145,3.8,39,0.7,5.2,2300,120000,24000,920000,1
25,26,4.8,7.2,6.5,7.3,155,406,3,6,0.3,1,2300,15000,24000,160000,1
25,25,3.3,6.1,6.5,7.8,574,2730,4,10,1.1,4.5,3300,49000,35000,240000,1
25,25,4,6.8,6.3,7.9,236,775,2,9,0.6,3,3300,14000,24000,160000,1
21,25,4.6,6,7.6,8.3,460,1180,2,3.2,0.3,0.4,140,320,1100,2100,1
20,28,5.6,7.3,7.4,7.9,330,470,2,2.2,0.3,0.3,92,220,920,1400,1
22,27,4.2,5.7,7.5,7.8,390,500,2.2,2.6,0.3,0.3,210,340,1700,2200,1
24,26,4.5,5.5,7.4,7.9,739,889,9,24,1.22,1.67,63,175,279,561,1
25,25,0.3,6.3,6.2,7.4,321,1566,4,30,0.3,6.3,3400,46000,24000,350000,1
25,25,4.8,6.6,5.4,8.1,123,702,2,7,0.3,2.4,4600,6300000,35000,54000000,1
24,29,6.9,7.5,7.4,8.4,312,1485,2.5,6,0.3,1.3,350,1400,1600,5400,1
21,27,5.3,7.1,7.3,7.8,440,530,2,2.6,0.3,0.3,170,700,1200,3500,1
24,29,7,7.6,7.5,8.4,326,1458,3,6,0.3,0.3,350,1300,1600,5400,1
23,24,4.6,6,7.3,7.8,320,440,2,2.2,0.3,0.32,200,330,1700,2200,1
23,25,4.8,6.9,6.5,7.3,394,1543,2,20,1,4,2700,70000,24000,920000,1
21,27,4.2,5.8,7.7,8.1,390,650,2.1,3,0.3,0.3,210,470,1400,3500,1
21,32,4,9,8.4,10.3,1180,3819,1.1,16.2,0.4,6.53,920,1840,1600,3200,1
25,25,1.8,6.3,6.5,8.4,393,1201,4,25,0.4,5.3,3300,2800000,24000,16000000,1
25,25,0.3,4.1,6.7,7.3,1237,2135,9,101,1.8,16,2100,12000000,24000,92000000,1
21,27,2.4,5,7.3,8.1,990,4300,3.4,6.8,0.5,1.9,110,700,920,4700,1
19,26,6,7.4,7.4,8.6,496,764,2.5,6,1.5,3.2,700,1100,4300,5800,1
23,26,6.7,7.4,7.5,8.2,447,592,3.2,4.1,0.62,0.88,32,79,212,290,1
25,25,1.3,7.6,6.5,7.7,289,1389,3,40,0.59,6.3,3300,940000,24000,5400000,1
25,25,3.1,7.2,6.5,8.3,407,1332,3,13,0.4,4.4,3300,6300000,35000,160000000,1
22,27,3.6,6.9,7.7,8.8,500,2900,2.6,7.2,0.3,1.3,140,400,1100,2800,1
26,28,5.8,7.4,7.6,8.2,220,370,2.2,6.5,0.3,0.3,-,-,-,-,1
21,27,5.7,7.3,7.3,7.8,450,540,1.8,2.3,0.3,0.3,93,220,920,1400,1
27,27,6.9,6.9,8,8,330,330,2.3,2.3,1.1,1.1,-,-,-,-,1
25,25,2.6,6.9,6.6,8.1,397,509,3,28,0.61,3,3100,49000,24000,540000,1
21,27,5,7,7.5,7.9,370,620,2,3,0.3,0.3,94,270,920,1700,1
25,25,3.4,6.6,6.2,7.6,213,1240,2,13,0.56,3.8,2300,460000,24000,3500000,1
25,25,3.4,6.3,6.5,6.8,64,398,3,18,0.3,2.1,4900,11000000,24000,92000000,1
25,25,4.2,7.1,6.7,8.4,286,1402,3,10,1.03,4.3,2300,170000,24000,1600000,1
21,27,1.9,3,7.3,8,740,1400,3.8,5.8,0.7,1.2,930,2600,7000,13000,1
